Fit FA02

   PI+P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
 1340.00 -0.1216E+00  0.1040E+01  0.0000E+00  0.0000E+00
 1360.00 -0.1208E+00  0.1042E+01  0.0000E+00  0.0000E+00
 1380.00 -0.1189E+00  0.1044E+01  0.0000E+00  0.0000E+00
 1400.00 -0.1160E+00  0.1046E+01  0.0000E+00  0.0000E+00
 1420.00 -0.1123E+00  0.1048E+01  0.0000E+00  0.0000E+00
 1440.00 -0.1078E+00  0.1050E+01  0.0000E+00  0.0000E+00
 1460.00 -0.1027E+00  0.1054E+01  0.0000E+00  0.0000E+00
 1480.00 -0.9729E-01  0.1058E+01  0.0000E+00  0.0000E+00
 1500.00 -0.9172E-01  0.1063E+01  0.0000E+00  0.0000E+00
 1520.00 -0.8617E-01  0.1069E+01  0.0000E+00  0.0000E+00
 1540.00 -0.8079E-01  0.1076E+01  0.0000E+00  0.0000E+00
 1560.00 -0.7572E-01  0.1084E+01  0.0000E+00  0.0000E+00
 1580.00 -0.7108E-01  0.1092E+01  0.0000E+00  0.0000E+00
 1600.00 -0.6696E-01  0.1102E+01  0.0000E+00  0.0000E+00
 1620.00 -0.6345E-01  0.1112E+01  0.0000E+00  0.0000E+00
 1640.00 -0.6060E-01  0.1122E+01  0.0000E+00  0.0000E+00
 1660.00 -0.5847E-01  0.1133E+01  0.0000E+00  0.0000E+00
 1680.00 -0.5711E-01  0.1145E+01  0.0000E+00  0.0000E+00
 1700.00 -0.5653E-01  0.1156E+01  0.0000E+00  0.0000E+00
 1720.00 -0.5677E-01  0.1168E+01  0.0000E+00  0.0000E+00
 1740.00 -0.5783E-01  0.1181E+01  0.0000E+00  0.0000E+00
 1760.00 -0.5974E-01  0.1193E+01  0.0000E+00  0.0000E+00
 1780.00 -0.6248E-01  0.1206E+01  0.0000E+00  0.0000E+00
 1800.00 -0.6606E-01  0.1218E+01  0.0000E+00  0.0000E+00
 1820.00 -0.7049E-01  0.1231E+01  0.0000E+00  0.0000E+00
 1840.00 -0.7576E-01  0.1244E+01  0.0000E+00  0.0000E+00
 1860.00 -0.8185E-01  0.1256E+01  0.0000E+00  0.0000E+00
 1880.00 -0.8877E-01  0.1269E+01  0.0000E+00  0.0000E+00
 1900.00 -0.9649E-01  0.1281E+01  0.0000E+00  0.0000E+00
 1920.00 -0.1050E+00  0.1293E+01  0.0000E+00  0.0000E+00
 1940.00 -0.1143E+00  0.1305E+01  0.0000E+00  0.0000E+00
 1960.00 -0.1244E+00  0.1317E+01  0.0000E+00  0.0000E+00
 1980.00 -0.1352E+00  0.1328E+01  0.0000E+00  0.0000E+00
 2000.00 -0.1467E+00  0.1340E+01  0.0000E+00  0.0000E+00

Fit Karlsruhe KH80

    KH80   KARLSRUHE (1980) SOLUTION .02-10 GEV/C ARNDT 2/86        
   PI+P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
 1800.00 -0.3932E+00  0.1016E+01  0.0000E+00  0.0000E+00
 1850.00 -0.3670E+00  0.1028E+01  0.0000E+00  0.0000E+00
 1900.00 -0.3672E+00  0.1031E+01  0.0000E+00  0.0000E+00
 1950.00 -0.3441E+00  0.1048E+01  0.0000E+00  0.0000E+00
 2000.00 -0.3332E+00  0.1064E+01  0.0000E+00  0.0000E+00
 2050.00 -0.3201E+00  0.1086E+01  0.0000E+00  0.0000E+00
 2100.00 -0.3136E+00  0.1111E+01  0.0000E+00  0.0000E+00
 2150.00 -0.3103E+00  0.1135E+01  0.0000E+00  0.0000E+00
 2200.00 -0.3095E+00  0.1161E+01  0.0000E+00  0.0000E+00
 2250.00 -0.3193E+00  0.1182E+01  0.0000E+00  0.0000E+00
 2300.00 -0.3296E+00  0.1202E+01  0.0000E+00  0.0000E+00
 2350.00 -0.3429E+00  0.1220E+01  0.0000E+00  0.0000E+00
 2400.00 -0.3587E+00  0.1235E+01  0.0000E+00  0.0000E+00
 2450.00 -0.3727E+00  0.1247E+01  0.0000E+00  0.0000E+00
 2500.00 -0.3852E+00  0.1257E+01  0.0000E+00  0.0000E+00
 2550.00 -0.3971E+00  0.1267E+01  0.0000E+00  0.0000E+00
 2600.00 -0.4084E+00  0.1277E+01  0.0000E+00  0.0000E+00
 2650.00 -0.4152E+00  0.1284E+01  0.0000E+00  0.0000E+00
 2700.00 -0.4203E+00  0.1289E+01  0.0000E+00  0.0000E+00
