Measurement			
2			
Q2			
1.8			
W			
1.25			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.725	0.003981	0.001272	0.00071
-0.675	0.002377	0.000822	0.000507
-0.625	0.002561	0.000748	0.000537
-0.575	0.002441	0.000727	0.000533
-0.525	0.002581	0.000676	0.000548
-0.475	0.002055	0.000613	0.000513
-0.425	0.004749	0.000836	0.000862
-0.375	0.003546	0.00071	0.000652
-0.325	0.00331	0.000679	0.000645
-0.275	0.004252	0.000641	0.000793
-0.225	0.003837	0.000765	0.000709
-0.175	0.003915	0.00061	0.0007
-0.125	0.004737	0.000654	0.000832
-0.075	0.004301	0.000688	0.000761
-0.025	0.004958	0.000635	0.000878
0.025	0.005941	0.00071	0.001045
0.075	0.005512	0.000678	0.000967
0.125	0.005697	0.000744	0.000998
0.175	0.005481	0.000711	0.000973
0.225	0.004954	0.000701	0.000903
0.275	0.005909	0.000837	0.001092
0.325	0.00575	0.000808	0.001062
0.375	0.008581	0.001102	0.001586
0.425	0.007312	0.001082	0.001351
0.475	0.005183	0.000913	0.000985
0.525	0.008734	0.001214	0.001614
0.575	0.010366	0.001288	0.001915
0.625	0.006946	0.001034	0.001284
0.675	0.009921	0.001242	0.001833
End			
Measurement			
21			
Q2			
2.8			
W			
1.5			
Ps			
340			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.000431
-0.925	0	0	0.000443
-0.875	0	0	0.000456
-0.825	0	0	0.000468
-0.775	0.006925	0.002308	0.000954
-0.725	0.002002	0.000677	0.0005
-0.675	0.003792	0.000692	0.000537
-0.625	0.003181	0.000655	0.000544
-0.575	0.002934	0.000569	0.000556
-0.525	0.003209	0.000574	0.000575
-0.475	0.003856	0.000596	0.000602
-0.425	0.003544	0.000535	0.000611
-0.375	0.004327	0.000561	0.000648
-0.325	0.002641	0.000451	0.000627
-0.275	0.004169	0.000523	0.000673
-0.225	0.005065	0.000614	0.000728
-0.175	0.0049	0.000603	0.000716
-0.125	0.00491	0.000546	0.000733
-0.075	0.006779	0.00063	0.000983
-0.025	0.007302	0.000642	0.001056
0.025	0.007061	0.000659	0.001008
0.075	0.006041	0.000597	0.000863
0.125	0.007072	0.000655	0.001025
0.175	0.007369	0.000651	0.001073
0.225	0.007073	0.00063	0.001024
0.275	0.007801	0.000704	0.001136
0.325	0.007903	0.000725	0.001151
0.375	0.009917	0.000879	0.001444
0.425	0.008132	0.000805	0.001184
0.475	0.009812	0.000965	0.001428
0.525	0.008109	0.000871	0.001181
0.575	0.008574	0.000877	0.001248
0.625	0.0085	0.000923	0.001237
0.675	0.006502	0.000797	0.001084
End			
Measurement			
22			
Q2			
2.8			
W			
1.73			
Ps			
340			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.000753
-0.925	0	0	0.000774
-0.875	0	0	0.000796
-0.825	0	0	0.000818
-0.775	-0.000581	0.002903	0.000839
-0.725	0.00286	0.001081	0.000862
-0.675	0.006172	0.001029	0.000897
-0.625	0.005683	0.000846	0.000919
-0.575	0.005064	0.000756	0.000944
-0.525	0.005998	0.000787	0.000976
-0.475	0.006553	0.000804	0.001002
-0.425	0.007221	0.000753	0.001031
-0.375	0.006925	0.000685	0.001056
-0.325	0.007238	0.000691	0.001086
-0.275	0.008532	0.000745	0.00115
-0.225	0.009527	0.000792	0.001287
-0.175	0.010633	0.000812	0.001441
-0.125	0.009482	0.000763	0.001291
-0.075	0.010989	0.000838	0.001506
-0.025	0.011787	0.00087	0.001617
0.025	0.011502	0.000841	0.001573
0.075	0.012736	0.000887	0.001736
0.125	0.014054	0.000879	0.001911
0.175	0.013026	0.000794	0.001773
0.225	0.014216	0.000854	0.001944
0.275	0.014237	0.000891	0.001951
0.325	0.016207	0.000967	0.002221
0.375	0.018977	0.001137	0.0026
0.425	0.017654	0.001134	0.002419
0.475	0.017502	0.001154	0.002398
0.525	0.018895	0.001279	0.002589
0.575	0.018063	0.001272	0.002475
0.625	0.017214	0.001265	0.002359
0.675	0.020659	0.001423	0.002831
End			
Measurement			
23			
Q2			
2.8			
W			
2.02			
Ps			
340			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.000954
-0.925	0	0	0.00098
-0.875	0	0	0.001008
-0.825	0	0	0.001036
-0.775	0	0	0.001062
-0.725	0.001246	0.002202	0.001089
-0.675	0.005973	0.001369	0.001157
-0.625	0.006095	0.000883	0.001188
-0.575	0.009157	0.000875	0.001245
-0.525	0.009023	0.000822	0.001245
-0.475	0.009315	0.000728	0.00127
